BHK,price,per_month_emi,total_sqft,latitude,longitude
2,27,14.3,855,19.96599,73.77292
1,22,11.65,662,20.04905,73.79696
2,30,15.89,907,20.04905,73.79696
2,26,13.77,850,19.97262,73.74383
1,28,14.83,620,19.94749,73.76139
2,40,21.18,1050,19.95364,73.7693
2,40,21.18,1050,20.01277,73.73992
1,30,15.89,615,20.00038,73.75442
2,28.1,14.88,830,20.04723,73.77545
1,19,10.06,641,19.94610591,73.8268024
1,18,9.53,550,19.99975,73.73383
2,21,11.12,650,19.94625,73.8147
2,35,18.53,1031,19.94749,73.76139
2,29.49,15.62,986,19.98491,73.80525
1,28,14.83,635,20.00038,73.75442
1,16,8.47,650,19.99286,73.75199
2,47.5,25.15,832,19.97594,73.82971
2,24,12.71,730,19.9305322,73.81173403
1,12.75,6.75,430,19.97218,73.7861
0,15,7.94,440,19.9678,73.75231
1,16,8.47,650,19.94625,73.8147
2,51,27.01,1057,19.95531,73.84089
1,20,10.59,580,19.94749,73.76139
1,17,9,675,19.99975,73.73383
2,30,15.89,850,19.98582,73.81712
2,38,20.12,875,20.01726691,73.78508823
1,21,11.12,735,19.94625,73.8147
1,17,9,475,20.18299,73.99257
2,35,18.53,842,19.97181,73.7689
2,30,15.89,1000,19.94625,73.8147
2,47,24.89,1050,19.94749,73.76139
0,13.25,7.02,500,19.94625,73.8147
0,13.25,7.02,500,19.94625,73.8147
1,22,11.65,624,20.00495,73.80174
3,48,25.42,1250,19.94749,73.76139
2,35.5,18.8,2000,19.94749,73.76139
1,21,11.12,605,19.97693,73.79817
3,72,38.13,1465,20.01726691,73.78508823
1,20,10.59,575,19.95531,73.84089
1,18,9.53,750,19.95531,73.84089
1,22.51,11.92,630,19.94749,73.76139
3,40,21.18,1574,19.94749,73.76139
1,16,8.47,600,19.96311,73.77113
2,26,13.77,835,19.94749,73.76139
1,15,7.94,500,20.03086,73.71665
2,29.51,15.63,815,19.99975,73.73383
1,17,9,550,19.95298,73.83799
